//----- A set of 8689 addresses in Essonne from the national "Cadastre" registery  -----------------
//- Concerns only places with one the following postal code :
// 91410 Dourdan + ....
// 91870 Boissy-le-Sec
// 91530 Sermaise

//	Tuples structure :  <Longitude, Latitude, Localisation, PostalCode, Town, Country>

addressBase = {
	<1.9589761,48.4507517,	"6 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9564975,48.4507662,	"3 Rue de l'Ecu", 91410, "Authon-la-Plaine", "France">,
	<1.9593557,48.4507061,	"29 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9591555,48.4507881,	"27 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9561544,48.4504029,	"3 Rue de Chatignonville", 91410, "Authon-la-Plaine", "France">,
	<1.9589252,48.4519548,	"4 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.959327,48.4517705,	"6bis Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9590957,48.4518739,	"6 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9584859,48.4513195,	"13bis Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9584376,48.4513268,	"11 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9581254,48.4509968,	"9 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9548731,48.4494456,	"6 Rue de Paponville", 91410, "Authon-la-Plaine", "France">,
	<1.9554962,48.4500022,	"1 Rue de Malassis", 91410, "Authon-la-Plaine", "France">,
	<1.955415,48.4498035,	"3 Rue de Malassis", 91410, "Authon-la-Plaine", "France">,
	<1.9553713,48.4493976,	"4 Rue de Paponville", 91410, "Authon-la-Plaine", "France">,
	<1.9567393,48.4502612,	"3 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9579229,48.4520981,	"18 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.96234,48.4504449,	"51 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.960009,48.4505236,	"41 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9597821,48.450587,	"35 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9603439,48.450476,	"45 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9607678,48.451054,	"20 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9632685,48.4509001,	"55 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9548557,48.4500081,	"3 Rue de Garancières", 91410, "Authon-la-Plaine", "France">,
	<1.9552144,48.4497455,	"4 Rue de Malassis", 91410, "Authon-la-Plaine", "France">,
	<1.9546683,48.4495877,	"8 Rue de Paponville", 91410, "Authon-la-Plaine", "France">,
	<1.9545057,48.4498432,	"5 Rue de Garancières", 91410, "Authon-la-Plaine", "France">,
	<1.9605515,48.4504418,	"47 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9609512,48.4509552,	"22 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9611559,48.4508184,	"24 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9608593,48.4503983,	"49 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9582005,48.4519089,	"16A Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9577695,48.4519305,	"16 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9635701,48.4509045,	"57 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9639548,48.4508474,	"59 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9559937,48.449219,	"1 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9563036,48.4496162,	"1bis Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9580673,48.452492,	"25 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9586214,48.4531909,	"35 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9585253,48.4530632,	"33 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9584214,48.4529193,	"31 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.958316,48.4527961,	"29 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9581778,48.4526466,	"27 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9524691,48.4523438,	"19 Rue de Chatignonville", 91410, "Authon-la-Plaine", "France">,
	<1.9526975,48.4511231,	"2 Rue des Prés", 91410, "Authon-la-Plaine", "France">,
	<1.9553121,48.4499851,	"2 Rue de Malassis", 91410, "Authon-la-Plaine", "France">,
	<1.9562882,48.4504179,	"1 Rue de Chatignonville", 91410, "Authon-la-Plaine", "France">,
	<1.9570782,48.4509706,	"11 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9570366,48.4507284,	"7 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9569416,48.4505306,	"5 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9599913,48.4507175,	"37 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9601959,48.4505005,	"43 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9537869,48.4502086,	"11 Rue des Prés", 91410, "Authon-la-Plaine", "France">,
	<1.9603032,48.4504039,	"18 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9592423,48.4506602,	"8 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9563976,48.4506424,	"1 Rue de l'Ecu", 91410, "Authon-la-Plaine", "France">,
	<1.9566444,48.4504791,	"2 Rue de Chatignonville", 91410, "Authon-la-Plaine", "France">,
	<1.9645068,48.450763,	"61 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9595034,48.4505605,	"10 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9650604,48.451234,	"63 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9603172,48.4512822,	"14 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9556314,48.4494,	"2 Rue de Paponville", 91410, "Authon-la-Plaine", "France">,
	<1.9560035,48.4494088,	"2bis Rue de Paponville", 91410, "Authon-la-Plaine", "France">,
	<1.9598418,48.4504659,	"14 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9599875,48.4504441,	"16 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9529966,48.4508875,	"4 Rue des Prés", 91410, "Authon-la-Plaine", "France">,
	<1.9533261,48.4515,	"1 Rue des Prés", 91410, "Authon-la-Plaine", "France">,
	<1.9559848,48.4523948,	"12 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9566893,48.4525243,	"6 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9564128,48.452477,	"8 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9562142,48.4524429,	"10 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9560491,48.4520663,	"16 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9564936923076923,48.451051092307694,	"6 Rue de l'Ecu", 91410, "Authon-la-Plaine", "France">,
	<1.9571094,48.4494647,	"3 Rue de la Haute Borne", 91410, "Authon-la-Plaine", "France">,
	<1.9575055,48.4516422,	"10bis Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9574034,48.4515308,	"10 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9557709,48.4523503,	"14 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9587174,48.4533278,	"37 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9569962149999998,48.45171220499999,	"4 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.955960686666667,48.45117571333333,	"10 Rue de l'Ecu", 91410, "Authon-la-Plaine", "France">,
	<1.955960686666667,48.45117571333333,	"12 Rue de l'Ecu", 91410, "Authon-la-Plaine", "France">,
	<1.9566178,48.4508051,	"2 Rue de l'Ecu", 91410, "Authon-la-Plaine", "France">,
	<1.9601035,48.4513822,	"10 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9602342,48.4513134,	"10bis Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9555084,48.4522883,	"18 Rue du Tour du Village", 91410, "Authon-la-Plaine", "France">,
	<1.9598548,48.4514991,	"12 Rue du Parc", 91410, "Authon-la-Plaine", "France">,
	<1.9628363,48.4507128,	"53 Rue des Pavillons", 91410, "Authon-la-Plaine", "France">,
	<1.9558557,48.4519956,	"3 Impasse Jean", 91410, "Authon-la-Plaine", "France">,
	<1.9565905,48.4512716,	"15A Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9564154,48.4513159,	"15B Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9571108,48.4512019,	"15 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9556199,48.4515235,	"15E Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9557852,48.4514468,	"15D Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9555572,48.4514286,	"15F Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.9597495,48.4497693,	"2 Clos de la Plaine", 91410, "Authon-la-Plaine", "France">,
	<1.9598626,48.4498066,	"4 Clos de la Plaine", 91410, "Authon-la-Plaine", "France">,
	<1.9597868,48.449825,	"3 Clos de la Plaine", 91410, "Authon-la-Plaine", "France">,
	<1.9597282,48.4496803,	"1 Clos de la Plaine", 91410, "Authon-la-Plaine", "France">,
	<1.9598444,48.4497185,	"5 Clos de la Plaine", 91410, "Authon-la-Plaine", "France">,
	<1.957177,48.44941,	"4 Rue de la Haute Borne", 91410, "Authon-la-Plaine", "France">,
	<1.9569971,48.4504245,	"4 Grande Rue", 91410, "Authon-la-Plaine", "France">,
	<1.957753,48.4494212,	"6 Rue de la Haute Borne", 91410, "Authon-la-Plaine", "France">,
	<2.0922933,48.5061494,	"1 Rue des Cadottes", 91870, "Boissy-le-Sec", "France">,
	<2.0924998,48.505691,	"3 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0924981,48.5055847,	"1 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0927674,48.5057334,	"7 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0928024,48.5061005,	"4 Rue des Cadottes", 91870, "Boissy-le-Sec", "France">,
	<2.093475342857143,48.5062879,	"4bis Rue des Cadottes", 91870, "Boissy-le-Sec", "France">,
	<2.0934616,48.5058698,	"12 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0940163,48.5053588,	"3 Rue de Villeneuve", 91870, "Boissy-le-Sec", "France">,
	<2.0944327,48.5052538,	"5 Rue de Villeneuve", 91870, "Boissy-le-Sec", "France">,
	<2.0937265,48.5053517,	"4 Rue de Villeneuve", 91870, "Boissy-le-Sec", "France">,
	<2.0935541,48.5054623,	"2 Rue de Villeneuve", 91870, "Boissy-le-Sec", "France">,
	<2.0930129,48.5056743,	"8 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0931837,48.5057524,	"10 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0931742,48.5051755,	"2 Rue des Buis", 91870, "Boissy-le-Sec", "France">,
	<2.0932878,48.5051039,	"4 Rue des Buis", 91870, "Boissy-le-Sec", "France">,
	<2.0933887,48.5049935,	"6 Rue des Buis", 91870, "Boissy-le-Sec", "France">,
	<2.0918694,48.5042177,	"4 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0915478,48.5041056,	"2 Rue de la Renarde", 91870, "Boissy-le-Sec", "France">,
	<2.0857603,48.4954547,	"5A Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0860496,48.4955181,	"5B Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0863918,48.4956583,	"5C Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0869571,48.4957054,	"5E Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0866869,48.4956781,	"5D Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0853903,48.4954976,	"5 Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0886805,48.4961945,	"9 Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0799774166666665,48.495059983333334,	"2 Chemin des Pierres Aigües", 91870, "Boissy-le-Sec", "France">,
	<2.0810713,48.4956348,	"9 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0809128705882354,48.495565611764704,	"9A Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0808325,48.4957254,	"11 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0806678,48.4958228,	"13 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0818998,48.4965757,	"8 Rue du Bois de Boissy", 91870, "Boissy-le-Sec", "France">,
	<2.0837333,48.4964182,	"2 Rue des Châtaigniers", 91870, "Boissy-le-Sec", "France">,
	<2.0833316,48.4964302,	"2bis Rue des Châtaigniers", 91870, "Boissy-le-Sec", "France">,
	<2.0846967,48.4962371,	"1 Rue de la Cordenne", 91870, "Boissy-le-Sec", "France">,
	<2.0850377499999997,48.49563885833333,	"3 Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0850266,48.4952887,	"3A Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0848234,48.4960572,	"2 Rue de la Cordenne", 91870, "Boissy-le-Sec", "France">,
	<2.0835599,48.4955796,	"4 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0831251,48.4960938,	"5 Rue des Châtaigniers", 91870, "Boissy-le-Sec", "France">,
	<2.0833691,48.4955609,	"6 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0831635,48.495548,	"8 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0815802,48.4955193,	"7 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0828966,48.4954286,	"5 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0835538,48.495483,	"1 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0838546421052633,48.49507657894736,	"4 Rue de Boissy", 91870, "Boissy-le-Sec", "France">,
	<2.0833757,48.4949847,	"4 Rue des Ormes", 91870, "Boissy-le-Sec", "France">,
	<2.0830998,48.4948158,	"6 Rue des Ormes", 91870, "Boissy-le-Sec", "France">,
	<2.0838276,48.4954992,	"2 Rue de Boissy", 91870, "Boissy-le-Sec", "France">,
	<2.0809226,48.4959039,	"16 Rue de Dourdan", 91870, "Boissy-le-Sec", "France">,
	<2.0844237,48.4951551,	"1 Rue des Puits", 91870, "Boissy-le-Sec", "France">,
	<2.0829275,48.4964675,	"4 Rue des Châtaigniers", 91870, "Boissy-le-Sec", "France">,
	<2.0826495,48.4964258,	"6 Rue des Châtaigniers", 91870, "Boissy-le-Sec", "France">,
	<2.0889182,48.4812374,	"50 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.088915,48.4814849,	"50bis Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0890615,48.4800846,	"40 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0892805,48.4799208,	"2 Rue des Jardins", 91870, "Boissy-le-Sec", "France">,
	<2.089113,48.4797204,	"38 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.089333,48.4797168,	"36 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.089406,48.4796977,	"34 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0891997,48.4795198,	"32 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0891845,48.4794347,	"30bis Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0897352,48.4794341,	"30 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0892965,48.4790749,	"22 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0895866,48.4788134,	"1 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0905979,48.4787701,	"1 Rue du Closeau", 91870, "Boissy-le-Sec", "France">,
	<2.0900676,48.4786872,	"3 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0896091,48.4786688,	"4 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0889032,48.4778402,	"12 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0902404,48.4783189,	"5 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0904834,48.4781183,	"7 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0911945,48.4788072,	"8 Rue du Château d'Eau", 91870, "Boissy-le-Sec", "France">,
	<2.0934445,48.4787145,	"10 Rue du Bon Air", 91870, "Boissy-le-Sec", "France">,
	<2.0915385,48.477714,	"12 Rue du Bon Air", 91870, "Boissy-le-Sec", "France">,
	<2.0927944,48.4788072,	"6 Rue du Bon Air", 91870, "Boissy-le-Sec", "France">,
	<2.0921555,48.4785817,	"4 Rue du Bon Air", 91870, "Boissy-le-Sec", "France">,
	<2.0923662,48.4786638,	"4bis Rue du Bon Air", 91870, "Boissy-le-Sec", "France">,
	<2.0926015,48.4787474,	"4ter Rue du Bon Air", 91870, "Boissy-le-Sec", "France">,
	<2.0913984,48.4782107,	"4 Place du Château d'Eau", 91870, "Boissy-le-Sec", "France">,
	<2.0913208,48.4781707,	"2 Place du Château d'Eau", 91870, "Boissy-le-Sec", "France">,
	<2.0911615,48.4781037,	"16 Rue du Hulot", 91870, "Boissy-le-Sec", "France">,
	<2.0915385,48.477714,	"12 Rue du Hulot", 91870, "Boissy-le-Sec", "France">,
	<2.0912224,48.4777294,	"8 Rue du Hulot", 91870, "Boissy-le-Sec", "France">,
	<2.0914669,48.4767885,	"13 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0915818,48.4766617,	"15 Rue de Vaucouleurs", 91870, "Boissy-le-Sec", "France">,
	<2.0890657,48.4771621,	"10bis Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0893399,48.4777494,	"4 Rue des Chicards", 91870, "Boissy-le-Sec", "France">,
	<2.0888448,48.4759243,	"8 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0887826,48.4750635,	"2 Rue du Parc", 91870, "Boissy-le-Sec", "France">,
	<2.0887288,48.4745515,	"2 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0888106,48.4743817,	"1 Route du Chesnay", 91870, "Boissy-le-Sec", "France">,
	<2.0889091,48.4742851,	"3 Route du Chesnay", 91870, "Boissy-le-Sec", "France">,
	<2.0889598,48.4742183,	"5 Route du Chesnay", 91870, "Boissy-le-Sec", "France">,
	<2.0886175,48.4743623,	"2 Route du Chesnay", 91870, "Boissy-le-Sec", "France">,
	<2.0885058,48.4747391,	"1 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0885422,48.4751565,	"3 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0885973,48.4753078,	"5 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0886647,48.475534,	"5bis Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0885663,48.4759882,	"13 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0887572,48.4761764,	"15 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.088779,48.4779009,	"25 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0880789,48.4778442,	"25ter Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0881536,48.4776939,	"25bis Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0878839,48.4782085,	"33 Grande Rue", 91870, "Boissy-le-Sec", "France">,
	<2.0883359,48.4783423,	"1 Rue de la Forêt", 91870, "Boissy-le-Sec", "France">,
	<2.0881191,48.4785336,	"7 Rue de la Forêt", 91870, "Boissy-le-Sec", "France">,
	<2.0879649,48.4783872,	"5 Rue de la Forêt", 91870, "Boissy-le-Sec", "France">,
	<2.087883,48.4786531,	"9 Rue de la Forêt", 91870, "Boissy-le-Sec", "France">,
	<2.087744,48.4787416,	"11 Rue de la Forêt", 91870, "Boissy-le-Sec", "France">,
	<2.0875196,48.47871,	"11bis Rue de la Forêt", 91870, "Boissy-le-Sec", "France">,
